user_name,personality ,I-E,S-N,T-F,J-P,captions,nb_emojis
,,,,,,,
donggi,infj,1,0,0,1," |||Coolest stuff from IKEA #frekvens |||정모건 돌사진#해담소#돌사진 |||so... #splatoon2 made us to get a 2nd #nintendoswitch after all 😂 |||비 온 뒤 |||🌷 |||드디어 오는 봄 |||What a nice day... |||#discovery |||Peace after #bombcyclone |||못 구하면 만들어 먹는 라이프👨‍🍳그래도 하다하다 단무지까지 만들어 먹게 될 줄이야 😂 |||진지돼지 “Honey, we need to talk.” |||미쿡소주 🐇#tokkisojuThanks @hunminkoh |||너무좋다아아아아앙 #iPhoneX |||#halloween is coming to town 👻😱 |||우디고근리고 |||On 4th of July |||#sunset in #manhattan |||미국 축하해요 |||비 그칠 무렵 #brooklyn #shotoniphone |||#rainbow |||#brooklyn #sunset |||Rose night @brooklynbotanic |||엄청나다 +_+ #ipadpro 👍 |||#batterypark #nyc |||#misfits #williamsburg #brooklyn",9
,,,,,,,
doogleq,infj,1,0,0,1," |||The 3652nd dawn of the decade |||Didn’t quite make it to the top of Kindrogan Hill due to a late start and fading light. But fantastic scenery and a walk through the woods |||Never known him to snuggle up here before, but he looked very comfy when I walked through the front door |||Actual #DogsAtPollingStations! |||Been thinking about how uninspiring the view from the treadmill at my gym is. At least it’s a window, I suppose. Anyone got a better running view? |||A sweet little bundle of fluff.The same one that just came over the fence with a bird in his mouth 😾 |||Butterfly weather ☀️ |||Happy Burns night! |||Late night drinks |||The 17-mile-drive again. This time via treadmill |||Dead Androids |||The Augmented Reality thing was pretty cool |||Love this place |||Hollywood Hills |||Rattley 1925 wooden roller coaster. Screams and ticket-scrunching on the way round |||Found just as we’re leaving town! #nexttime |||View from our hotel |||Summer has arrived |||Bee rescue by @tyseley |||I reckon I’ve kept miscellaneous wires in this box for about 27 years",2
,,,,,,,
double3,esfp,0,1,0,0," |||Day 2 in Copenhagen and the final day of our epic family vacation. Flying home tomorrow to our normal life, but more importantly to our Elsie. I’ve missed that little girl like crazy. Only cried once today because I forced myself to push through the final day without her. But oh man I can’t wait to get my hands on my baby! |||Incredible city. Definitely makes me want to come back to Denmark and explore outside of Copenhagen. |||Only half a day in Copenhagen so far, but dang I love this city! I think we need to move here! |||Rome! I’m pretty sure I’ll never again have the chance to see and to experience as much history in one single day as I did today. I’m truly blown away. And thankful. |||I’m absolutely blown away by the history I saw today in Rome. From buildings that are 2000+ years old to standing in the actual cell where Paul was imprisoned. Wow wow wow. |||Florence was really fun. But definitely different than all of the other parts of Italy we’ve seen so far. Tomorrow we’re heading to Rome! |||We were able to hit 4 of the 5 villages of Cinque Terre in one day. They’re only accessible via boat, train, or by hiking from one to the next along a 22-mile trail. Amazing! |||Venice was incredible. Now to the rental car place so we can drive into the Alps! |||Amazing day in London with incredible weather. Feels like we’ve only seen a tiny bit of this great city even though we’ve walked 7 miles so far. Definitely need to come back for more. We’re heading to Venice tomorrow! |||Is this thing still on? Figured I’d come back to Instagram to document our huge European vacation. Flew to Boston this morning and had a nice day getting as much in as possible before our flight to London in a couple hours. I always love my time in Boston! Norm! |||20 years. 7,300 days. 4 kids. 2 states. 10 homes. 10 jobs. Countless dreams. And 1 us. Happy 20th Anniversary, Angela. I married way above my head and I’m still blown away that I got you, my dream girl. You’re my best friend, the best mother in the world ... I could go on and on. I love you! #MeAndYou @terriblespeller |||And my latest project is finally complete! An 8' farm table to replace the one I built 1.5 years ago. The top on that one cupped and bowed as the seasons changed. I was a total rookie woodworker back then ... and now I'm just barely above rookie status ... with much better tools and a few more skills. Of course, as with every project, I'd change a few things. But I'm happy with it overall. |||I love watching a storm roll in. And Montana gave me a gorgeous show. @refuge_foundation |||I already miss the beauty of God's creation in Montana ... so He painted this for me as I land in Nashville. |||Well, Montana did it again. My heart is full, rested, and refreshed to jump back into normal life. Catching rainbow trout, brown trout, and carp with a fly rod on the Bighorn river definitely doesn't suck. So thankful I could experience my second trip to @refuge_foundation with a group of men working through their faith together. |||My newest tool ... a Wen electric hand planer. Surprising how great this little thing works. Especially for only $30. Using it for the project in the glue-up below ... an 8' farm table to replace the one I built 1.5 years ago. |||Seriously. Those curls. And lips. And eyes. |||Happy Easter. |||First big project with the crosscut sled I built a couple weeks ago. 220 pieces for 44 boxes in 3 sizes. All for a small parts organizer cabinet I'm building. Now on to the long assembly process. |||Good grief I love this crazy-hair girl. |||Getting a birthday card in the mail from your grandmother the day after she dies is so surreal. I miss you, my wonderful Memaw. Thank you for always being the best grandmother this kid could ask for. |||I've always thought of my Memaw each time I get a scoop of her favorite ice cream. But this one is extra special today now that she's gone. Still doesn't feel real that I'll never again hear those familiar words ... ""I love you, Sweet Boy."" #baskinrobbins |||Me: building a router table. God: just showin' off. |||Learning the basics of lap joints today on a simple step-stool so I'm better prepared for a much bigger project I'll be starting soon. I don't own a table saw or router yet, so I had to do all of this by hand (chisel and handsaw). Took forever! But I learned a ton. |||Abortion in the US was legalized 44 years ago today. Since then, 60 million babies have been killed. One more time ... 60 million babies have been killed. Shocking stat, huh? Well, maybe not to everyone. Thousands of women (and men) have participated in marches and protests across our county the last few days. Some are actually really dear friends of mine. Of course, I'm not saying that all of those people (including my friends) are in support of abortion. It's just one issue in the overall agenda behind women's rights. And yes, I know that President Trump is one major reason for the movement. He's said and done many many horrible things ... especially toward women. I get that. I'm embarrassed by it. It makes me angry. And sad. Sure, speak out against that all day everyday. But to march for a woman's right to murder unborn children ... I'll never in a million years understand why that makes sense to anyone with a heart. |||We miss you and love you, Mom. This first Christmas without you is so hard. Tell Jesus we said Happy Birthday. |||Dang, the moon is surrounded by a big halo tonight. So beautiful! |||Watching Monsters University and snuggling with the cutest little girl on the planet. Good grief I'm so thankful she's mine. |||When you don't have a proper workshop as a wannabe  carpenter, you make a mobile workstation. Prevents my garage from being covered in sawdust!",0
,,,,,,,
dpraba,enfp,0,0,0,0,|||Nederlandsch-Indische Spoorweg Maatschappij |||Since 1873 |||Nederlandsch-Indische Spoorweg Maatschappij |||Tree muscles |||The Muscles |||6 o’clock  #DataranMerdeka #KL |||#ceiling #iphoneography |||The muscle |||Massive |||Long black #iphoneography |||Second performance #burjkhalifa |||@Dubai Mall |||Breakfast before work |||Much Beautiful Church at Golden Moment |||Big Red Church |||dine in  #blackandwhite #eatery |||Deliciozo #blackandwhite #hdrphotography |||I want to depart but I just arrived #blackandwhite #hdr #railway #waiting |||escaping..the way you meet your soul #hdrfreak #hdr |||The way to rejuvenate the soul trough Java Wine coffe #morningcoffee #hdrfreak #longblack #americano #coffe |||Nice place; will be back soon #bookshop #hdrfreak |||Lines and curves #hdr #hdrfreak |||Underconstruction corner...keep reading #hdr |||The Balinese Nasi Campur #tasty |||having Balinese nasi campur with my birthday b❤️y |||coffe time @silol |||Kroepoek SGPC,1
,,,,,,,
dr_rou,esfp,0,1,0,0,|||Last day of 2019 😍 |||#friends #oldfriends #oldisgold #bestfriends |||#scubadiving #diveeatsleeprepeat #millionhopewreck |||El Hob 😍 |||#scubadiving #diveeatsleeprepeat #dahabegypt #bluespottedstingray #scubaseekers |||#scubadiving #lionfish #diveeatsleeprepeat #dahabegypt #redsea #scubaseekers |||#lionfish #scubadiving  #phuket #diveeatsleeprepeat #diving |||20 years of friendship 😊😎 |||Yummy 😂😎😊 |||😍😍😍 |||#atp finals #ddftennis |||#atp #dubaidutyfreetennis |||#rogerfederer |||#rogerfederer #atp #dubaidutyfree |||Point zero |||😍 Happy Birthday ya JoOoJ |||Baby lamb 😍 |||#paella #barcelona 😍 |||Baby lamb 😍,14
,,,,,,,
d_vanner,isfj,1,1,0,1," |||Happy birthday con, eat as much cake as you want! 🥳🤩🎂 #apolloturns2 #birthdayboy #decemberbaby #birthdaycake #apollobrooklyn |||Taken at Ha Long Bay, Vietnam. Glad we were able to take lolo back and visit.📸: @staceeyyy__ |||Happy birthday to a real one, my forever ride or die! Celebrating 2/3 bdays but we don’t care, we celebrating them all😂👍🏼🤷🏻‍♂️Love sharing these moments with you!!! Run it back tomorrow!🍻🎊🎉 #711 #freeslurpeeday |||Mood all summer ‘19 😎☀️🔥✨ #purejoy #apollobrooklyn |||No amount of words can describe how much Apollo and I appreciate everything that you do for us. Just know we are forever thankful and we love you ∞ x ∞ 🥰😘💐🎊🎉#mothersday #bestmomever #wifey #apollobrooklyn |||Happy 1st birthday Apollo. Keep reaching for the stars and keep doing amazing things con! Love you!!! 👨‍👦🥳🥰 #apollobrooklyn #birthdayboy #1stbirthday #apollo1 📸: @staceeyyy__ |||Need a couple more trips to da islands before he’s tan like me 🤣🤙🏽🚀🏝🏖⛱🏊🏽‍♂️🌊🌈 #lanikaibeach #oahu #islandlife #beachbum #808 #apollobrooklyn |||Happy birthday my love! May all your wishes and dreams come true. Apollo and I love you infinity x infinity 🎉🎊🎁😘👪 #happybirthday #seveneleven #julybaby #foreveryoung |||3 generations...thanks pops for everything and thanks Apollo for giving me the title. #fathersday #3generations #blessed 👴🏼👨🏻👦🏻 |||Happy two months, Apollo! Daddy loves you, Man boobs and all! #apollobrooklyn  #firstborn #minime #trainingbra #manboobs 😂😂😂 |||Say Hello to baby Apollo! Born on 12/20/2017! Special shoutout to my wife, Stacey, for being a boss throughout this pregnancy and demonstrating an unreal amount of super strength to bring Apollo into this world! We are forever grateful and love you infinity x infinity! 👪👼🏻#family #babyboy #familypictures #superwife #superwoman #apollobrooklyn |||...and we're having a boy!!!! 👶🏻 Mom and Dad cannot wait to meet you! #babybeast #genderreveal #davidjr @staceeyyy__ |||Happy birthday pretty lady! Words cannot describe how grateful I am for you. Thank you for your endless love and constant support. You are truly my lobster! 👫💏😍😘🎉🎊 #hbd #nye #2016 #yearinreview #wedding #memorylane #2017ready |||Saigon City Center #saigon #vietnam #vietnamtrip #bnbhoneymoon #vietnamesecoffee |||Visiting the famous #angkorwat in #siemreap #cambodia 🇰🇭🇰🇭🇰🇭 |||The Royal Palace 🇹🇭 #thailand #bangkok |||Wedding crasher circa 1989, up front and center about to wreak havoc 👦🏻😂😎 #vietnamflashbacks #bnbhoneymoon |||Traffic going ➡️⬅️⬆️⬇️ #vietnam #vietnamtrip #bnbhoneymoon |||Street. Food. Cheap. Dirty. Delicious #vietnam #vietnamesefood #bnbhoneymoon |||Lost for words #firstlook #bnbinfinity #wedding #hawaii #happilyeverafter |||Head to head with Sergio. I'm in the red. #vancity #ggdv #bubblesoccer |||Daily nap session 🐶💤💤 #puppy #shitzumix #kingcharlescavaliermix #tgif |||Pork belly musubi. Best thing here. #seattlefood #food #eatnowgymlater #columbiacity |||Delicious tuna & salmon poke bowl. #pokebowl #food #seattle |||Uni shot...perfection 👌🏼👌🏼👌🏼 #sushi #foodporn #eatit #japanesefood |||Baecation 😎⛵️🏄👫🌵🐟🍹☀️ #cabosanlucas #bnbadventures #elarco #loversbeach #darkaf |||Current situation ☀️🌊😎 #hilife #808 #waikiki |||We out here! #leonardsbakery #hilife #808 #malasadas |||Decided to try #habitburgergrill instead of the typical #innoutbuger ....well worth the hype!🍔👍🏼👌🏼 #burger #onionrings #charburger #whenincali |||😍😍😍 love her! #officialjamfam",108
,,,,,,,
easygoom,esfj,0,1,0,1," |||Enjoying a little hike after an interesting sim session in MXP #river #pebbles #mxp #limc #pilotlife #nature #view #sunrise #piemonte #italy #nightstop |||When in Napels 🇮🇹 #tourist #pilotlife #nightstop #napels #italy #napoli #view #contrast #colors #gallery #view |||Napels Centro Direzionale in black and white |||Barcelona as seen from Sant Pere Màrtir #bcn #barcelona #catalunya #view #sunset #sunrise #shotoniphone #shotoniphone11pro #nightmode #castelldefels #elprat #view #nightlife #nightlifephotography |||criss-cross. High altitude contrails and down-to-the-ground power lines intersecting. #shotoniphone #barcelona #spain #catalunya #contrails #sunrise #powerlines #abstract #santperemartir #sky |||Last flight of the year with the city lights of Barcelona reflecting on the radome. #barcelona #bcn #lebl #crewlife #logtenlife #avgeek #cockpitview #aviationgeek #view #instapilot #pilot #pilotlife #aviationphotography #apron #view #airport #airportview #shotoniphone #shotoniphone11pro #nightmode #iphonenightmode #a320 #citylights #mediterranean #sea #rosterbuster #officeview #airbus |||Good morning BARCELONA! #barcelona #bcn #lebl #crewlife #sunset #sunrise #logtenlife #avgeek #cockpitview #aviationgeek #view #instapilot #pilot #pilotlife #aviationphotography #sun #goldensky #apron #view #airport #airportview #shotoniphone #shotoniphone11pro #nightmode #iphonenightmode #a320 #sharklet #citylights #mediterranean #rosterbuster |||Approaching Barcelona. #crewlife #bcn #lebl #nightmode #sunset #sunrise #goldenhour #logtenlife #avgeek #cockpitview #officeview #aviationgeek #view #instapilot #pilot #pilotlife #aviationphotography #spain #river #sea #goldenhour #goldensky #reflection #airbus #a320 |||Morning ritual (the ☕️ is on the table) #ritual #pet #goodmorning #cat #kitten |||Good morning Barcelona! #sunrise #nespresso #espresso #coffee #sun #goodmorning |||When dad is a pilot 👨‍✈️ ... Baby Alex (4 month) enjoying his daily touch-and-go’s with dad #family #familylife #kids #son #pilotlife #airplane #crewlife #play #babygames #airplanegame #tummytime #instapilot #enjoylife #enjoyinglife #happy |||Good evening Madrid! View over the city as seen from 38.000 feet. Note the constellation Big Dipper in the sky! This iPhone 11 pro nightmode is truly magnificent!!! #madrid #crewlife #sunset #sunrise #logtenlife #avgeek #cockpitview #aviationgeek #view #instapilot #pilot #pilotlife #aviationphotography #sun #goldensky #apron #view #airport #airportview #shotoniphone #shotoniphone11pro #nightmode #iphonenightmode #bigdipper #constellation #stars #star #lemd #mad |||Good evening Marseille! View over the city as seen from 30.000 feet. #marseille #crewlife #sunset #sunrise #logtenlife #avgeek #cockpitview #aviationgeek #view #instapilot #pilot #pilotlife #aviationphotography #sun #goldenhour #goldensky #apron #view #airport #airportview #shotoniphone #shotoniphone11pro #nightmode #iphonenightmode #lfml #mrs #mediterranean #sea #france |||Good morning BCN! View over the apron as seen from 101. #lebl #bcn #crewlife #sunset #sunrise #logtenlife #avgeek #cockpitview #aviationgeek #view #instapilot #pilot #pilotlife #aviationphotography #sun #goldenhour #goldensky #apron #platform #dispatcher #airport #airportview #shotoniphone #nightmode #iphone11pro |||Beach fun! #family #gin #tonic #sun |||Part of the daily routine of eat, poo, sleep, repeat! |||Our family has grown by 2 feet! Welcome to our family Alexander 😍 (04/06/19) |||The pool-season has officially started! 🏊 💦 🎈 💕 🌞 |||When it’s raining outside... #instadog #goldenretriever #petstagram #petsofinstagram #pet #dog #animal #thoseeyes #paw #woof #cute #shotoniphone |||Sipping an espresso ☕️ at the beach. Life is good!  Edited with: @carbonblackandwhite-#photo #photos #pic #pics #photography #picture #pictures #snapshot #art #beautiful #instagood #picoftheday #photooftheday #color #carbonblackandwhite #beautiful #snapshot #amazing #tagsforlikes #iphoneonly #follow4follow #all_shots #exposure #composition #focus #capture #moment |||Paris at sunset. Notice the long shadow the Eiffel Tower casts on the city. #crewlife #paris #eiffeltower #toureiffel #sunset #sunrise #goldenhour #logtenlife #avgeek #cockpitview #officeview #aviationgeek #view #instapilot #pilot #pilotlife #aviationphotography #sun #river #seine #goldenhour #goldensky #shadow #tourist #tourism #travel #travelphotography #france #latoureiffel |||Mountain tops trying to peak through the clouds to witness another great sunset! #crewlife #sunset #sunrise #goldenhour #logtenlife #avgeek #cockpitview #aviationgeek #view #instapilot #pilot #pilotlife #aviationphotography #sun #goldenhour #goldensky #dispatcher #airport #airportview #mountains #clouds #overcast #alpes |||Geneva and Geneva Airport with the Alpes and Mont Blanc in the background. #crewlife #geneva #lsgg #Switzerland #gva #swiss #sunset #sunrise #goldenhour #logtenlife #avgeek #cockpitview #officeview #aviationgeek #view #instapilot #pilot #pilotlife #aviationphotography #sun #river #lacleman #goldenhour #goldensky #rain #alpes #lakegeneva #mountains #annemasse #chamonix #chamonixmontblanc |||London baby!!! Father-and-son trip to change Mrs May’s mind... 🇬🇧 #family #uk #london #towerbridge #england #fatherandson #citytrip #travel |||Chillexing! 12-year-old Golden Retriever Slap enjoying the morning sun #dogsofinstagram #goldenretriever #chill #relax #doglife #dog #dogs #bellyup |||Another beautiful spring/swing day on the beach! |||Friends forever! #dogsofinstagram #pet #worldofcutepets #petsofinstagram #goldenretriever #dog #friend #sun #spring #goldenretrievers #spain |||Sitges during sunset #crewlife #sunset #sunrise #goldenhour #logtenlife #avgeek #cockpitview #aviationgeek #view #instapilot #pilot #pilotlife #aviationphotography #sun #goldenhour #goldensky #reflection |||🎵🎶 Here comes the sun! 🎶🎵#crewlife #sunset #sunrise #goldenhour #logtenlife #avgeek #cockpitview #officeview #aviationgeek #view #instapilot #pilot #pilotlife #aviationphotography #sun  #goldensky #cockpit #airbus #a320 #flightdeck #FCU #autopilot #flightlevel |||Enjoying the majestic Alpes when approaching Geneva Airport from the south-west.#crewlife #sunset #sunrise #goldenhour #logtenlife #avgeek #cockpitview #officeview #aviationgeek #view #instapilot #pilot #pilotlife #aviationphotography #sun  #goldensky #mountains #alpes #clouds #montblanc #lsgg #gva #overcast #stratus",18
,,,,,,,
ecstacy7834,infj,1,0,0,1," |||Happy 8th birthday to this perfect butterball turkey and my forever valentine. Sorry for ruining your life by getting you an annoying baby brother. Thank you for the multiple cross country trips the last few years and constantly putting your butthole in my face as a sign of love and affection. Follow @pancake_and_potato for more pictures of my cute smoshy face #exoticshorthair #exoticshorthaircat #exoticshorthairsofinstagram #catstagram #catsofinstagram #catsoftheworld #petstagram #petsofinstagram #birthday #birthdayboy #happybirthday #cats #cat #mustache #mustachecat #derp #derpface #flatface #whiskers #valentines #valentinesday #catoftheday #pets #smooshface |||Dearest Costco pizza, you are beauty and you are grace. Thank you for blessing my life 🍕🐷 #food #foodporn #foodgasm #foodphotography #foodphoto #pizza #costco #nomnom |||Sometimes work takes you to the top of the mountains so you are surrounded by nature, vineyards, animals, and the cutest little bacon bits #nature #naturephotography #sonoma #sonomacounty #winecountry #pigsofinstagram #pigs #kunekune #landscape #landscapephotography |||Christmas miracles do happen 😭😭😭❤️❤️❤️❤️❤️ #exoticshorthair #exoticshorthairkitten #exoticcat #catstagram #instacat #catsofinstagram #petsofinstagram #petstagram #cat #kitten #smushface #flaceface #mustache #mustachecat |||Potato’s favorite activities are copying whatever his older brother does and being a little heathen #exoticshorthair #exoticcat #exoticshorthairkitten #catsofinstagram #catstagram #instacat #petsofinstagram #petstagram #kitten #kittensofinstagram #smushface #flatface #mustache #mustachecat |||When you feed the gremlin after midnight #exoticcat #exoticshorthair #exoticshorthairkitten #whiskers #catsofinstagram #catstagram #petstagram #petsofinstagram #kitten #smushface #flatface |||Welcome to the family Potato ❤️ #exoticshorthair #exoticshorthairkitten #exoticshorthaircat #catsofinstagram #catstagram #kittensofinstagram #cats #petstagram #petsofinstagram #kitten #smushface #flatface |||Happy national cat day to this booger. Thank you for always living your best life even when we are surrounded by fire and smoke 😸 #nationalcatday #exoticshorthair #exoticshorthaircat #exoticcat #whiskers #smushface #catstagram #catsofinstagram #catsofinsta #petstagram #petsofinstagram #mustache #mustachecat #livingmybestlife |||Because some Caturdays are harder than others #exoticshorthair #exoticshorthaircats #exoticcat #caturday #catsofinstagram #catstagram #petsofinstagram #petstagram #smushface #whiskers #mustache #mustachecat |||🍤 vermicelli noodle bowl #food #foodphotography #foodporn #foodgasm #foodstagram #vietnamesefood #nomnom #shrimp #instafood |||Lazy derpy caturdays where you only leave the house for tamales #exoticcat #exoticshorthair #catsofinstagram #catstagram #caturday #cats #derpface #whiskers #petsofinstagram #petstagram #foodstagram #foodphotography #foodporn #tamales #foodgasm |||The grumpiest little bug #exoticshorthair #exoticcat #catstagram #whiskers #mustache #mustachecat #cats #petstagram #petsofinstagram #smushface #catsofinstagram #tongueout |||Happy international cat day to this lazy loaf #internationalcatday #exoticshorthair #exoticcat #catstagram #catsofinstagram #mustache #mustachecat #whiskers #instacat #petstagram #petsofinstagram |||Wiping his pawsies bc he’s a good boy #exoticshorthair #exoticcat #exoticshorthaircat #catsofinstagram #catstagram #caturday #smushface #mustache #mustachecat #paws #cat #petstagram  #petsofinstagram |||The California sun bringing out his baby blues #exoticshorthair #exoticshorthaircat #exoticcat #cats #catsofinstagram #catstagram #tongueouttuesday #petsofinstagram #petstagram #whiskers #mustache #mustachecat #california #smushface #derp #derpface |||When your cat son receives his doctorate and you celebrate by exploring nature and eating your way through the south one last time #exoticshorthair #exoticcat #exoticshorthaircat #catstagram #catsofinstagram #catlady #mustachecat #foodstagram #foodporn #foodphotography #nature #naturephotography #clouds #cloudporn #graduation #cumberlandgap #greatsmokymountains |||Those TN farm days #farmlife #farm #cows #clouds #cloudporn #sky #skyporn #cloudscape #tennessee #nature #naturephotography |||Happy 7th birthday to my dearest smush face!! Thank for your being my forever Valentine and forever ride and die. You deserve all the Cheetos for keeping me sane these last few years ❤️❤️ #exoticshorthair #smushface #catsofinstagram #catstagram #cat #cats_of_instagram #catsofig #flatface #valentinesday #exoticcat #rideanddie #smushface #mustachecat #mustache #whiskers |||""My mustache doesn't like this white stuff and why am I wearing a knit sweater?!"" #snow #snowday #exoticshorthair #exoticcat #catsofinstagram #catstagram #catsofig #tennessee #lazysunday #mustache #mustachecat #smushface #flatface #derpface #whiskers |||Bye Somerset. Thanks for all the frozen apple cider and fried apple pie #sunset #naturephotography #nature #clouds #cloudporn #sky #cows #kentucky |||His life has been too exhausting lately #exoticshorthair #exoticcat #catstagram #catsofinstagram #catsofig #cats_of_instagram #smushface #derpface #instacat #instapet #whiskers #meow #mustache #mustachecat |||Halfway through rotation 1 means eating all the food in Buffalo and finally eating real poutine in Canada. Oh and the Falls aren't bad either #food #foodgasm #foodporn #foodphotography #foodstagram #foodie #buffalo #niagarafalls #newyork #ontario #canada #exoticcat #exoticshorthair #catstagram #catsofinstagram #smushface #clinicalrotations |||Wishing it was still last weekend when I said yolo to school life and ran away for a weekend of music and real food + made a 🐴 friend #food #foodporn #foodphotography #nashville #foodstagram #foodgasm #nomnomnom #andrewmcmahon #andrewmcmahoninthewilderness #hattiebs #hotchicken #donuts |||When all you want to do on Caturday is nap on the deck and garden #caturday #exoticshorthair #exoticcat #catstagram #instacat #instapet #whiskers #mustache #mustachecat #smushface #flatface #cats #catsofinstagram #saturday |||When it's already Sunday and u haven't accomplished anything #sundaze #exoticshorthair #exoticcat #cat #catsofinstagram #catstagram #instapet #instacat #smushface #flatface #whiskers #mustache #mustachecat #derp |||How our brains feel after a super long Monday #derp #braindead #exoticshorthair #exoticcat #cat #smushface #flatface #mustache #mustachecat #catsofinstagram #catstagram #instacat #instapet #whiskers #tongueblep #derpface |||Lazy Sundays are for food and lounging around. Cumin lamb w/fried garlic + kimchi. #food #foodstagram #foodporn #foodphotography #homecooking #foodgasm #nomnomnom #exoticshorthair #exoticcat #catsofinstagram #catstagram #mustachecat #instapet #instacat #smushface #flatface |||Exam weekend means stress eating: pork belly, kimchi, & rice #food #lunch #faturday #foodstagram #foodphotography #porkbelly #foodporn #foodgasm #homecooking #nomnomnom |||Fulfilling some of my fat girl dreams in DC ❤️🐷 #chiko #chikodc #astrodoughnuts #maisonkayser #food #foodporn #fatty #foodphotography #foodgasm #foodstagram #allthefood #washingtondc #dceats #dcfoodporn |||When u can finally apply school stuff to real life scenarios like fixing Mr. Ostrich on a Caturday while a worried booger face looks on #caturday #exoticshorthair #exoticcat #catsofinstagram #catstagram #smushface #flatface #instapet #instacat #mustache #mustachecat #cat #whiskers",18
,,,,,,,
effe3691,isfp,1,1,0,0," |||#model #girls |||#water #orange #soda |||Villaggiodellasalutepiu |||#beach #sun #me #painting |||#Chef #casa #gourmet |||#natura #painting |||Coffe |||#porsche #acquerello #painting |||#facepainting #painting #face |||#coffeetime #chocolate #painting |||#pastello #foto #auto #vintage #pittura |||color reinterpretation of a work of art |||#Design #horror #Pictures #popart |||Horror |||Isola Palmaria Flowers |||Porto Venere Italy |||Notte difficile |||Palmaria Island, beach late afternoon |||Castle |||clock tower |||mountain storm clouds |||mountain august |||Bologna Magica",0
,,,,,,,
eighty8mph,esfp,0,1,0,0," |||#stockxgiveaway2020 |||A whole decade later. |||Great year! Here is to more adventure in 2020. |||Happy birthday. I love you. |||Amazing day kayaking 12 miles on the Colorado river. |||One last ride on the first upside down roller coaster I ever rode.  If this wasn’t closing there is no way I would be here on this CROWDED day. |||🤩 #iPhone11ProMax #midnightgreen |||What a fun hobby to get to have the best seat in the house, producing Crossroads Mason services and work with amazing people. #purposeandplay @crdsmason @crds_avl |||From Durban to Johannesburg to Dakar to Dulles to Cincinnati. After 33 hours of travel we have landed back home! #crdsgosouthafrica @crdsmason @crdsgotrips @southafricabuildthefuture |||Flew the drone at Build the Future’s Waterfall pre-school yesterday. This is the quick edit done in the DJI drone app. Excited to give all this footage to Build The Future. |||Beauty and the Beef |||Happy 50th Anniversary! |||Year 14 was great, here’s too many many more. I love you more and more each day. |||One happy camper!  Skye is on her way to @crdschurch MSM Camp with a great group of friends. @crdsmason @crdsmasonstudents |||Ready for the 🎇 fireworks 💥 #4thofjuly |||Picked up the t-shirts for Mason Go Trip. So now it’s Super Official! 1 month from today we start our journey to Durban, South Africa! #crdsgosouthafrica @crdsreachout |||Beating the 100 degree heat and feeling cultured at the same time. |||Thanks for taking a nice picture of us Skye. |||Come to the Hawthorne Hills Garage Sale and get some lemonade! $0.50 a cup! |||Summer time with this kid is going to be the best! 4 more days of school. |||Kids got baptized today! Best birthday ever! |||Slow mo Beefy |||When your son wants you to play Fortnite with him but you want to watch 3 basketball games at the same time. #marchmadness #fortnite |||Bahamas Beefy. |||Views |||🤩 |||Friend captured an action shot this morning. Charde bringing the gospel this morning leading worship. |||Yiiiikes. THE ""HOW HARD DID AGING HIT YOU"" CHALLENGE 🙌 upload your first ever profile pic and your most recent profile right next to it.  2005 vs 2018 |||#throwbackthursday |||🥩",6
,,,,,,,
